slope_Outdoor view,r_value_Outdoor view,p_value_Outdoor view,std_err_Outdoor view,timestamp_Outdoor view,slope_Indoor w/ window view,r_value_Indoor w/ window view,p_value_Indoor w/ window view,std_err_Indoor w/ window view,timestamp_Indoor w/ window view,slope_Indoor w/o window view,r_value_Indoor w/o window view,p_value_Indoor w/o window view,std_err_Indoor w/o window view,timestamp_Indoor w/o window view
-1.1747002530256967,-0.9665656155620099,5.0449819045721604e-30,0.04498067710398763,20240319T1530,-1.0983167691689988,-0.9853982295698288,1.442987058437041e-38,0.027391876905559505,20230310T1530,-1.3626004390482784,-0.944417567215547,7.803640238205448e-25,0.0684616548736965,20230626T0930
-1.223768417612191,-0.9887067042516716,3.141849528558169e-41,0.02677360568513265,20231023T1330,-1.136324260370438,-0.9894805193666336,5.768736140119983e-42,0.023979570853766532,20230803T1230,-1.4229344069798058,-0.9909257032383726,1.6892333691193572e-43,0.02785846508203036,20230621T1700
-0.9910979346061893,-0.9739679911077894,1.3501767579904349e-32,0.033294704376025226,20240311T1100,-0.9983269916295374,-0.9666429501231737,4.776386703193883e-30,0.03818059425460214,20231114T1730,-1.3676347176078634,-0.9458166113646179,4.2999794304729215e-25,0.06776830064896334,20230626T1330
-0.9844522226078798,-0.9820209704130806,2.049294216922736e-36,0.027314327310729747,20230302T0830,-1.337926163633789,-0.9898741051233548,2.320147578533746e-42,0.027692430343343843,20240110T1630,-1.439546536132666,-0.9892838535940792,8.978364668693327e-42,0.030665628301499933,20230612T1000
-1.2243795527271288,-0.9844916237272543,6.063796701928825e-38,0.03149134602629043,20230421T1430,-1.197519867337982,-0.9644712334163087,2.1180600997162047e-29,0.04734626581318139,20230614T1030,-1.3337024345082111,-0.9887230642322982,3.0349668893648816e-41,0.029157237115115673,20230612T1530
-1.3036105703822913,-0.9886139797665731,3.819165246514608e-41,0.02863925569243773,20231117T1700,-1.1006090316518968,-0.9858125633689514,7.264811939400859e-39,0.02704825171690887,20230310T1000,-0.8593545972255165,-0.9392408245313008,6.236984716154931e-24,0.045331139198174136,20230626T1600
-1.3523430371261056,-0.9794239621210976,5.073792102429518e-35,0.04022034695023217,20240322T1600,-1.558478108201348,-0.9944979676312196,1.0713198990041047e-48,0.023694882373802028,20231022T1330,-1.3831967291746707,-0.9892399041402253,9.90023528483409e-42,0.029526594476325805,20230621T1230
-1.4048098569583705,-0.9929182029250194,4.499981984336242e-46,0.024260510240932086,20230623T1330,-1.2390118715772056,-0.9817406555103431,2.9614430995120255e-36,0.0346516623037408,20230322T1030,-1.5468003376404325,-0.9816616655981613,3.2818170400584144e-36,0.043355730262533115,20230613T1100
-1.3496447317752256,-0.986230471581705,3.561265067751473e-39,0.03266591155164344,20240315T1130,-1.5948667385674122,-0.9873178995244147,5.004735839314779e-40,0.0370148538043955,20240109T1000,-1.2102538560407177,-0.9859803033589182,5.470994397678465e-39,0.02956272025525877,20231120T1100
-0.9800548136819918,-0.9824521961298068,1.149861685326831e-36,0.0268553654932429,20230302T1130,-1.5254666866475801,-0.995249338467977,3.1847330742735467e-50,0.021539015269920678,20231022T0930,-1.3708520451298687,-0.9863287061015878,3.00228265297491e-39,0.033058158828691155,20230616T1500
